Id,Quantidade,DataColetaDados,IdPesquisa,IdFavela
1,23,dez./14,1,26
2,1,dez./14,1,9
3,35,dez./14,5,180
4,697,dez./14,5,44
5,15,dez./14,5,501
,,,,
7,23,dez./14,5,423
8,9,dez./14,1,96
9,5,dez./14,5,124
10,92,dez./14,5,165
11,3,dez./14,1,127
12,7,dez./14,1,514
13,4,dez./14,5,515
14,44,dez./14,5,135
15,150,dez./14,5,507
16,0,dez./14,3,45
17,24,dez./14,5,20
18,12,dez./14,5,504
19,11,dez./14,1,233
20,6,dez./14,1,506
21,7,dez./14,1,419
22,1,dez./14,5,420
23,35,dez./14,5,78
24,553,dez./14,1,137
25,3,dez./14,5,49
26,2,dez./14,5,503
27,20,dez./14,5,442
28,8,dez./14,5,7
,,,,
30,1,dez./14,1,138
31,12,dez./14,1,51
32,0,dez./14,1,52
33,114,dez./14,5,153
34,12,dez./14,5,2
35,52,dez./14,5,64
36,28,dez./14,1,116
,,,,
,,,,
39,69,dez./14,5,92
40,78,dez./14,1,8
41,84,dez./14,1,164
42,8,dez./14,5,252
43,56,dez./14,1,66
44,8,dez./14,1,119
45,81,dez./14,5,24
46,6,dez./14,1,154
47,8,dez./14,1,225
48,431,dez./14,5,43
49,26,dez./14,5,98
50,15,dez./14,1,243
51,3,dez./14,5,519
52,6,dez./14,1,199
53,20,dez./14,1,99
54,37,dez./14,1,3
55,23,dez./14,5,39
56,58,dez./14,5,41
57,2,dez./14,5,167
58,1,dez./14,5,54
59,12,dez./14,1,197
60,0,dez./08,3,74
61,26,dez./14,5,139
,,,,
63,26,dez./14,1,140
64,6,dez./14,5,418
65,294,dez./14,1,117
66,8,dez./14,1,55
67,84,dez./14,5,141
68,0,dez./14,5,101
69,1,dez./14,1,25
70,3,dez./14,5,109
71,177,dez./14,5,40
72,81,dez./14,1,42
73,20,dez./14,5,15
74,6,dez./14,1,212
75,61,dez./14,5,118
76,24,dez./14,5,103
,,,,
78,12,dez./14,5,443
79,0,dez./14,1,437
80,27,dez./14,1,29
81,16,dez./14,1,438
82,119,dez./14,5,30
83,167,dez./14,5,31
84,253,dez./14,1,32
85,0,dez./14,5,172
86,238,dez./14,1,120
,,,,
88,3,dez./14,5,156
89,6,dez./14,1,218
90,114,dez./14,5,220
91,10,dez./14,1,34
,,,,
93,4,dez./14,1,445
94,17,dez./14,1,509
95,2,dez./14,1,35
96,58,dez./14,1,5
97,144,dez./14,5,37
98,106,dez./14,5,144
99,126,dez./14,1,38
100,18,dez./14,5,110
101,2,dez./14,1,421
102,0,dez./14,5,111
103,17,dez./14,1,433
104,65,dez./14,1,145
105,66,dez./14,1,146
106,54,dez./14,5,147
107,12,dez./14,5,60
108,5,dez./14,1,85
109,5,dez./14,1,61
110,78,dez./14,5,113
111,20,dez./14,1,114
,,,,
113,34,dez./14,5,83
114,28,dez./14,1,93
115,10,dez./14,5,178
116,0,dez./14,1,168
117,169,dez./14,5,150
118,2,dez./14,5,251
119,9,dez./14,1,155
120,7,dez./14,5,524
121,34,dez./14,1,134
122,41,dez./14,5,11
123,13,dez./14,5,27
124,10,dez./14,1,428
125,9,dez./14,5,47
126,16,dez./14,1,439
127,44,dez./14,1,97
128,108,dez./14,1,12
129,7,dez./14,5,166
130,15,dez./14,5,13
131,9,dez./14,5,516
132,7,dez./14,1,63
133,39,dez./14,1,510
134,20,dez./14,1,230
135,5,dez./14,6,521
136,12,dez./14,5,87
137,19,dez./14,5,48
138,0,dez./14,1,88
139,9,dez./14,1,175
140,28,dez./14,1,431
141,3,dez./14,5,441
142,15,dez./14,1,73
143,46,dez./14,1,22
144,8,dez./14,1,28
145,5,dez./14,5,424
146,0,dez./14,3,435
147,94,dez./14,5,14
148,13,dez./14,1,200
149,16,dez./14,1,201
150,10,dez./14,5,523
151,16,dez./14,1,75
152,5,dez./14,5,89
153,56,dez./14,5,94
154,8,dez./14,5,169
155,0,dez./14,1,100
156,38,dez./14,1,204
157,18,dez./14,1,205
158,10,dez./14,1,511
159,1,dez./14,5,517
160,12,dez./14,1,518
161,5,dez./14,1,95
162,43,dez./14,1,10
163,15,dez./14,5,170
164,175,dez./14,5,90
165,2,dez./14,5,128
166,29,dez./14,1,171
167,3,dez./14,1,56
168,26,dez./14,1,444
169,48,dez./14,1,104
170,7,dez./14,1,188
171,5,dez./14,5,77
172,0,dez./14,5,525
173,6,dez./14,1,23
174,10,dez./14,5,142
175,92,dez./14,1,187
176,10,dez./14,1,143
177,13,dez./14,1,151
178,64,dez./14,5,33
179,37,dez./14,5,105
180,4,dez./14,5,505
181,11,dez./14,1,157
182,1,dez./14,5,16
183,0,dez./14,1,429
184,198,dez./14,5,6
185,19,dez./14,5,17
186,5,dez./14,5,219
187,136,dez./14,5,130
188,3,dez./14,1,108
189,5,dez./14,3,526
190,229,dez./14,5,36
191,34,dez./14,5,173
192,26,dez./14,5,158
193,9,dez./14,5,159
194,12,dez./14,5,513
195,1,dez./14,1,160
196,12,dez./14,5,508
197,3,dez./14,5,59
198,45,dez./14,1,174
199,0,dez./14,5,112
200,35,dez./14,1,81
201,145,dez./14,5,132
202,7,dez./14,5,222
203,51,dez./14,1,426
204,2,dez./14,3,427
205,67,dez./14,5,115
206,40,dez./14,5,161
207,0,dez./14,1,227
208,14,dez./14,5,82
209,11,dez./14,1,19
210,3,dez./14,7,440
211,20,dez./14,1,62
212,0,dez./14,3,181
213,0,dez./14,3,520
214,1,dez./14,3,528
215,357,dez./14,1,152
216,3,dez./14,3,527
217,22,dez./14,1,430
218,56,dez./14,1,121